iteration,formula,formula_compact,site0_element,site0_role,site0_radius,site0_EN,site0_mass,site0_cost,site0_tox,site1_element,site1_role,site1_radius,site1_EN,site1_mass,site1_cost,site1_tox,site2_element,site2_role,site2_radius,site2_EN,site2_mass,site2_cost,site2_tox,site3_element,site3_role,site3_radius,site3_EN,site3_mass,site3_cost,site3_tox,ai_bandgap_eV,ai_storage_mAh_g,ai_pv_score,ai_battery_score,true_bandgap_eV,true_storage_mAh_g,true_stability_eV,true_pv_score,true_battery_score,true_stability_score,true_cost_penalty,chemistry_valid,chemistry_note,coherent,pv_disagreement,battery_disagreement,declared_new_best,status_note
1,Na-Al-P-C,NaAlPC,Na,A-site cation,1.66,0.93,22.99,5.0,0.3,Al,B-site metal,1.21,1.61,26.98,3.0,0.2,P,X-site anion,1.07,2.19,30.97,20.0,0.3,C,X-site anion,0.76,2.55,12.01,10.0,0.0,0.19,-0.6895,0.1181,0.0517,2.9838,500.0,-1.2561,0.2701,0.2857,0.0,0.0243,True,,False,0.152,0.234,False,INCOHERENT -- AI prediction does not match oracle. NOT a discovery.
2,Li-Al-P-S,LiAlPS,Li,A-site cation,1.28,0.98,6.94,50.0,0.2,Al,B-site metal,1.21,1.61,26.98,3.0,0.2,P,X-site anion,1.07,2.19,30.97,20.0,0.3,S,X-site anion,1.05,2.58,32.06,1.0,0.2,0.19,-0.6895,0.1181,0.0517,5.0162,96.0165,5.0,0.0689,0.0079,1.0,0.0236,True,,True,0.0492,0.0438,True,NEW BEST COMBINED MATERIAL (PV+Battery=0.077)
3,Na-Al-P-H,NaAlPH,Na,A-site cation,1.66,0.93,22.99,5.0,0.3,Al,B-site metal,1.21,1.61,26.98,3.0,0.2,P,X-site anion,1.07,2.19,30.97,20.0,0.3,H,X-site anion,0.31,2.2,1.008,1.0,0.0,0.19,-0.6895,0.1181,0.0517,1.7106,500.0,-2.7197,0.8792,0.2857,0.0,0.0182,True,,False,0.7611,0.234,False,INCOHERENT -- AI prediction does not match oracle. NOT a discovery.
4,Na-Al-H-N,NaAlHN,Na,A-site cation,1.66,0.93,22.99,5.0,0.3,Al,B-site metal,1.21,1.61,26.98,3.0,0.2,H,X-site anion,0.31,2.2,1.008,1.0,0.0,N,X-site anion,0.71,3.04,14.01,1.0,0.0,0.19,-0.6895,0.1181,0.0517,5.9709,119.1943,5.0,0.0446,0.0091,1.0,0.0163,True,,True,0.0736,0.0427,True,NEW BEST BATTERY MATERIAL (Battery=0.009)
5,Li-Al-N-P,LiAlNP,Li,A-site cation,1.28,0.98,6.94,50.0,0.2,Al,B-site metal,1.21,1.61,26.98,3.0,0.2,N,X-site anion,0.71,3.04,14.01,1.0,0.0,P,X-site anion,1.07,2.19,30.97,20.0,0.3,0.19,-0.6895,0.1181,0.0517,4.243,118.4289,-1.5469,0.1061,0.009,0.0,0.0174,True,,True,0.012,0.0427,True,NEW BEST COMBINED MATERIAL (PV+Battery=0.115)
6,Na-Al-P-H,NaAlPH,Na,A-site cation,1.66,0.93,22.99,5.0,0.3,Al,B-site metal,1.21,1.61,26.98,3.0,0.2,P,X-site anion,1.07,2.19,30.97,20.0,0.3,H,X-site anion,0.31,2.2,1.008,1.0,0.0,0.19,-0.6895,0.1181,0.0517,3.0649,484.2201,0.9003,0.2516,0.4606,1.0,0.0182,True,,False,0.1334,0.4089,False,INCOHERENT -- AI prediction does not match oracle. NOT a discovery.
7,Li-Al-P-C,LiAlPC,Li,A-site cation,1.28,0.98,6.94,50.0,0.2,Al,B-site metal,1.21,1.61,26.98,3.0,0.2,P,X-site anion,1.07,2.19,30.97,20.0,0.3,C,X-site anion,0.76,2.55,12.01,10.0,0.0,0.19,-0.6895,0.1181,0.0517,1.5579,75.2143,-4.0963,0.9547,0.0071,0.0,0.0121,True,,False,0.8366,0.0447,False,INCOHERENT -- AI prediction does not match oracle. NOT a discovery.
8,Li-Al-P-S,LiAlPS,Li,A-site cation,1.28,0.98,6.94,50.0,0.2,Al,B-site metal,1.21,1.61,26.98,3.0,0.2,P,X-site anion,1.07,2.19,30.97,20.0,0.3,S,X-site anion,1.05,2.58,32.06,1.0,0.2,0.19,-0.6895,0.1181,0.0517,2.9262,352.9061,-3.8357,0.2844,0.0959,0.0,0.0166,True,,True,0.1663,0.0442,True,NEW BEST COMBINED MATERIAL (PV+Battery=0.380)
9,Na-Al-P-S,NaAlPS,Na,A-site cation,1.66,0.93,22.99,5.0,0.3,Al,B-site metal,1.21,1.61,26.98,3.0,0.2,P,X-site anion,1.07,2.19,30.97,20.0,0.3,S,X-site anion,1.05,2.58,32.06,1.0,0.2,0.19,-0.6895,0.1181,0.0517,4.512,216.9122,5.0,0.0904,0.0181,1.0,0.0222,True,,True,0.0277,0.0337,False,"Coherent and chemically valid, but did not exceed any prior best."
10,Li-Al-H-P,LiAlHP,Li,A-site cation,1.28,0.98,6.94,50.0,0.2,Al,B-site metal,1.21,1.61,26.98,3.0,0.2,H,X-site anion,0.31,2.2,1.008,1.0,0.0,P,X-site anion,1.07,2.19,30.97,20.0,0.3,0.19,-0.6895,0.1181,0.0517,5.2141,244.8306,1.3131,0.0625,0.0232,1.0,0.0169,True,,True,0.0556,0.0285,False,"Coherent and chemically valid, but did not exceed any prior best."
